location,latitude,longitude
"Portland, OR, USA",45.515232,-122.6783853
"Seattle, WA, USA",47.6062095,-122.3320708
"New York, NY, USA",40.7127753,-74.0059728
"Los Angeles, CA, USA",34.0522342,-118.2436849
"Chicago, IL, USA",41.8781136,-87.6297982
"Dallas, TX, USA",32.7766642,-96.7969879
"Houston, TX, USA",29.7604267,-95.3698028
"Washington, DC, USA",38.9071923,-77.0368707
"Philadelphia, PA, USA",39.9525839,-75.1652215
"Atlanta, GA, USA",33.748752,-84.38768449999999
"Miami, FL, USA",25.7616798,-80.1917902
"Phoenix, AZ, USA",33.4483771,-112.0740373
"Boston, MA, USA",42.3600825,-71.0588801
"Riverside, CA, USA",33.9806005,-117.3754942
"San Francisco, CA, USA",37.7749295,-122.4194155
"Detroit, MI, USA",42.331427,-83.0457538
"Minneapolis, MN, USA",44.977753,-93.2650108
"San Diego, CA, USA",32.715738,-117.1610838
"Tampa, FL, USA",27.950575,-82.4571776
"Denver, CO, USA",39.7392358,-104.990251
"Baltimore, MD, USA",39.2903848,-76.6121893
"St. Louis, MO, USA",38.6270025,-90.19940419999999
"Charlotte, NC, USA",35.2270869,-80.8431267
"Orlando, FL, USA",28.5383832,-81.3789269
"San Antonio, TX, USA",29.4251905,-98.4945922
"Sacramento, CA, USA",38.5815719,-121.4943996
"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
"Austin, TX, USA",30.267153,-97.7430608
"Las Vegas, NV, USA",36.171563,-115.1391009
"Cincinnati, OH, USA",39.1031182,-84.5120196
"Kansas City, MO, USA",39.0997265,-94.5785667
"Columbus, OH, USA",39.9611755,-82.99879419999999
"Indianapolis, IN, USA",39.768403,-86.158068
"Cleveland, OH, USA",41.49932,-81.6943605
"Nashville, TN, USA",36.1626638,-86.7816016
"San Jose, CA, USA",37.33874,-121.8852525
"Virginia Beach, VA, USA",36.8516437,-75.97921939999999
"Providence, RI, USA",41.8239891,-71.4128343
"Jacksonville, FL, USA",30.3321838,-81.65565099999999
"Milwaukee, WI, USA",43.0389025,-87.9064736
"Raleigh, NC, USA",35.7795897,-78.6381787
"Oklahoma City, OK, USA",35.4675602,-97.5164276
"Memphis, TN, USA",35.1495343,-90.0489801
"Richmond, VA, USA",37.5407246,-77.4360481
"Louisville, KY, USA",38.2526647,-85.7584557
"Salt Lake City, UT, USA",40.7607793,-111.8910474
"New Orleans, LA, USA",29.95106579999999,-90.0715323
"Hartford, CT, USA",41.7658043,-72.6733723
"Buffalo, NY, USA",42.88644679999999,-78.8783689
"Birmingham, AL, USA",33.5185892,-86.8103567
